"beta"	"gamma"	"sample_size"	"not_beta"	"not_gamma"	"not_r0"	"jitter_beta"	"jitter_gamma"	"jitter_r0"
0.2	0.1	186	0.227003080671501	0.0876521363543229	2.58981800231165	0.227919262684258	0.0879640405605995	2.59105040232028
0.2	0.2	36	0.211933306827244	0.193668722280097	1.09430838563974	0.214276791232053	0.195574635272231	1.09562669481035
0.3	0.05	200	0.277874857584869	0.0486148619719955	5.71584174701427	0.278226424699801	0.0487097993299991	5.71191892651564
0.3	0.1	186	0.285626255297088	0.0971532729890385	2.93995504741579	0.286003674829978	0.0972738476447426	2.94019082985699
0.3	0.2	150	0.369793134026375	0.19959501967196	1.85271724031061	0.37343329201303	0.202722257361042	1.84209320118194
0.4	0.05	200	0.405610685704877	0.0474690202319874	8.54474526170128	0.398687881095934	0.047284996772078	8.43159370439802
0.4	0.1	197	0.334489539538283	0.0927389923394628	3.60678427811588	0.335702984686768	0.0929019846761666	3.61351790122618
0.4	0.2	116	0.36161433416259	0.242321031622419	1.49229446466724	0.359844923468001	0.241333970550684	1.49106618785119
0.5	0.05	200	0.50921134885959	0.0529781192625219	9.61172944506205	0.507714428924113	0.0530390772785235	9.57245968397899
0.5	0.1	196	0.445421904464626	0.10184420523647	4.37356159273284	0.44645867678524	0.101959141349051	4.37879988864181
0.5	0.2	177	0.49683076578811	0.195577630310543	2.54032511284256	0.498368067320857	0.19337681368323	2.57718626048536
0.2	0.05	192	0.170362547743071	0.0500796464373197	3.40183207875276	0.171043303474293	0.0502601083765027	3.40316224933288
0.2	0.1	155	0.194593724963037	0.107766604608821	1.80569598225153	0.192869462726605	0.107111376740211	1.80064404544433
